original,term,score
velosipēds,laukmale,0.8241322636604309
automašīna,kuteris,0.8339842557907104
automašīna,aizs,0.822354793548584
automašīna,banali,0.8217746019363403
automašīna,automobils,0.8215778470039368
automašīna,pagrieziens,0.8186286091804504
automašīna,stanga,0.8145972490310669
automašīna,priek,0.8117125034332275
automašīna,apgrieziens,0.8116099238395691
automašīna,lot,0.8114866018295288
automašīna,gaisigs,0.8105912208557129
automašīna,smaidīdama,0.809658944606781
automašīna,Dobeļs,0.8096481561660767
automašīna,lējums,0.807222306728363
automašīna,ššorīt,0.8066917657852173
automašīna,skrūve,0.8050054311752319
automašīna,žirgti,0.8045691847801208
automašīna,čūla,0.8041260242462158
automašīna,tālskatis,0.8039324283599854
automašīna,sarist,0.8029996752738953
automašīna,trokšņaini,0.8013380169868469
automašīna,iztraucets,0.8012983798980713
automašīna,nerimstoši,0.8007192611694336
automašīna,brs,0.80024653673172
automašīna,nogulsnētājs,0.798536479473114
automašīna,pakrēsla,0.7976165413856506
mašīna,mašina,0.7862234115600586
mašīna,darbnīca,0.7580000162124634
mašīna,noliktava,0.7179644107818604
mašīna,šķūnis,0.7053815126419067
mašīna,motors,0.6999461650848389
mašīna,auto,0.6981980800628662
mašīna,izkraut,0.6939587593078613
mašīna,automobilis,0.6923968195915222
mašīna,būvmateriāls,0.6908534169197083
mašīna,sliede,0.6902075409889221
mašīna,ore,0.6897600293159485
mašīna,vezums,0.687645435333252
mašīna,lifts,0.6875158548355103
mašīna,baraka,0.6810628175735474
mašīna,vezumnieks,0.6804490089416504
mašīna,svērtuve,0.680233895778656
mašīna,dzelzceļš,0.6791453957557678
mašīna,vāģis,0.6738831400871277
mašīna,krava,0.6707358956336975
mašīna,rakšana,0.6700855493545532
mašīna,ragavas,0.6700736880302429
mašīna,fabrika,0.6690506339073181
mašīna,strū,0.6674873232841492
mašīna,važonis,0.6664477586746216
mašīna,vedējs,0.663432776927948
vilciens,tramvajs,0.7744343280792236
vilciens,piestātne,0.7734363675117493
vilciens,vagons,0.7375392317771912
vilciens,stacija,0.7312828302383423
vilciens,auto,0.7245545387268066
vilciens,pasažieris,0.719800591468811
vilciens,autobuss,0.7156233191490173
vilciens,tvaikonis,0.7125232815742493
vilciens,pievakare,0.7069916725158691
vilciens,autotaksis,0.6952536702156067
vilciens,Bezts,0.6930392980575562
vilciens,automobilis,0.6910272240638733
vilciens,gājiens,0.6843203902244568
vilciens,kuģis,0.6815916299819946
vilciens,kuģītis,0.6731988191604614
vilciens,Kaija,0.664585530757904
vilciens,izlūks,0.6550778746604919
vilciens,velkonis,0.6508399248123169
vilciens,atkusnis,0.6475321650505066
vilciens,sliede,0.6471462249755859
vilciens,pulksten,0.6443505883216858
vilciens,dzelzsceļs,0.6442635655403137
vilciens,sekunde,0.6406659483909607
vilciens,pienākšana,0.6372994184494019
vilciens,minūte,0.631576657295227
lokomotīve,lokomotive,0.9195795655250549
lokomotīve,bungas,0.9066518545150757
lokomotīve,svilpe,0.8941029906272888
lokomotīve,tarkšķēt,0.8780217170715332
lokomotīve,rībēt,0.8746995329856873
lokomotīve,dārdēt,0.8723827004432678
lokomotīve,spalgi,0.8675697445869446
lokomotīve,motors,0.8638544082641602
lokomotīve,apgrieziens,0.8620865345001221
lokomotīve,šņākšana,0.8614151477813721
lokomotīve,sīkoņa,0.8578914403915405
lokomotīve,svilpt,0.8577898144721985
lokomotīve,bugs,0.8552308678627014
lokomotīve,vants,0.8500986695289612
lokomotīve,sprakšķēt,0.8481947183609009
lokomotīve,caurule,0.846346914768219
lokomotīve,sirēna,0.8453644514083862
lokomotīve,spingt,0.8449327349662781
lokomotīve,Kaija,0.8431074023246765
lokomotīve,zvārgulis,0.8424801826477051
lokomotīve,dārds,0.8416648507118225
lokomotīve,motorlaiva,0.8415648341178894
lokomotīve,dārdoņa,0.8408742547035217
lokomotīve,grāviens,0.8401677012443542
lokomotīve,māko,0.8388360738754272
tramvajs,autobuss,0.9109826683998108
tramvajs,auto,0.88100665807724
tramvajs,ormanis,0.858609676361084
tramvajs,taksometrs,0.854705810546875
tramvajs,važonis,0.8474670052528381
tramvajs,piestātne,0.8471484184265137
tramvajs,automobilis,0.8321164846420288
tramvajs,stacija,0.8317670822143555
tramvajs,bulvāris,0.8259880542755127
tramvajs,iekāpt,0.8242669701576233
tramvajs,barjers,0.8228812217712402
tramvajs,dzelzsceļs,0.8228098750114441
tramvajs,iesēsties,0.8200716972351074
tramvajs,kuģītis,0.8195315003395081
tramvajs,Daugavmala,0.8175865411758423
tramvajs,rībēt,0.8112959861755371
tramvajs,tirdzinieks,0.8109498023986816
tramvajs,kamanas,0.8099695444107056
tramvajs,ragavas,0.8083017468452454
tramvajs,perons,0.8068397641181946
tramvajs,vagons,0.804166853427887
tramvajs,šoseja,0.7966097593307495
tramvajs,divjūgs,0.7940322756767273
tramvajs,klājs,0.7927324175834656
tramvajs,pārdaugavāt,0.7896100878715515
bānītis,filozofēt,0.7703115344047546
bānītis,iedraudzēties,0.7683871984481812
bānītis,līdzs,0.7634891271591187
bānītis,Helmuts,0.7573927044868469
bānītis,Itālija,0.7571999430656433
bānītis,wun,0.754231870174408
bānītis,tielēties,0.7538172602653503
bānītis,krieviņš,0.7511763572692871
bānītis,ārgalis,0.749450147151947
bānītis,Zanders,0.7474420070648193
bānītis,vecsaimnieks,0.7452564835548401
bānītis,bārinis,0.7439264059066772
bānītis,Hau,0.7436088919639587
bānītis,Luzs,0.7416093945503235
bānītis,gona,0.7415955662727356
bānītis,lamadamies,0.7409514784812927
bānītis,prasts,0.7402465343475342
bānītis,radnieks,0.7396308183670044
bānītis,Brieža,0.7393463253974915
bānītis,eizenbānis,0.738962709903717
bānītis,pārliecināti,0.7380272150039673
bānītis,tecedama,0.737892210483551
bānītis,Fiume,0.7370064854621887
bānītis,pro,0.7369885444641113
bānītis,Laušs,0.7369396090507507
stīmeris,labīi,0.5722315907478333
stīmeris,kurien,0.5440431833267212
stīmeris,lelaidis,0.5345447659492493
stīmeris,šurpu,0.5289368033409119
stīmeris,ieraāt,0.516478955745697
stīmeris,mežotnieks,0.514178991317749
stīmeris,Kāsinieks,0.5132200121879578
stīmeris,sāpinat,0.5128503441810608
stīmeris,Zane,0.5102857947349548
stīmeris,arjergards,0.5100136399269104
stīmeris,pakaļ,0.5065909624099731
stīmeris,katrureiz,0.5046095848083496
stīmeris,Gribējēties,0.49965229630470276
stīmeris,ņet,0.49955376982688904
stīmeris,ierau,0.4994046688079834
stīmeris,Rolmans,0.4945431053638458
stīmeris,kurie,0.49239635467529297
stīmeris,izpļāpāties,0.4898568391799927
stīmeris,Jāejot,0.48930227756500244
stīmeris,nelabi,0.48853710293769836
stīmeris,smieklis,0.48573994636535645
stīmeris,fascinēt,0.4854120910167694
stīmeris,kurp,0.48511838912963867
stīmeris,jautrak,0.4840847849845886
stīmeris,līdzko,0.48054805397987366
zēģele,eksplodēt,0.8911028504371643
zēģele,tačka,0.8881863355636597
zēģele,kunkulis,0.8650928139686584
zēģele,strēķis,0.8634823560714722
zēģele,pupa,0.8621349334716797
zēģele,parets,0.8621252775192261
zēģele,sloksne,0.8618519902229309
zēģele,ogotājs,0.8585816621780396
zēģele,nostiept,0.855088472366333
zēģele,oss,0.853621244430542
zēģele,dzīs,0.8526143431663513
zēģele,lus,0.852060854434967
zēģele,šifers,0.8513028621673584
zēģele,pārklājs,0.8512420058250427
zēģele,Kanarija,0.850676417350769
zēģele,sētsvids,0.8505324721336365
zēģele,ganz,0.8485381603240967
zēģele,trulis,0.8479987978935242
zēģele,milns,0.847725510597229
zēģele,baseins,0.8476744890213013
zēģele,silīte,0.8468990921974182
zēģele,savērt,0.846880316734314
zēģele,Panēmis,0.8449732065200806
zēģele,meņs,0.8444451093673706
zēģele,priedite,0.8443694114685059
